Категория,Значение
D,3403.62942303061
C,9661.148867049338
B,3554.510678615246
A,1681.9329664277263
A,2100.1276294979293
A,3095.9749783976304
C,3947.5552705441164
A,7075.69555161976
C,7262.7506499204355
A,4683.361619291061
D,6181.022933320997
D,4030.267708521809
D,8436.202878018177
C,4565.666695914091
A,7579.421024108379
A,6564.42287718695
A,5116.126691392815
C,3846.2364921812145
D,1537.192652415555
A,1076.4363757451263
D,4597.810262542405
B,461.46004299587605
C,8200.34957872943
D,73.30332758388842
A,8686.552388729164
A,6867.2495365847735
D,6275.258896454489
D,8420.54369063868
B,2412.178722469557
C,3341.5552034343586
A,9951.695992489716
B,6919.010798859994
C,5961.8058192315975
B,7275.8496685475975
D,91.37242525824169
D,7629.163793213085
A,8408.969692864504
D,467.0010018885135
A,3675.558549858709
C,114.31051278089541
C,9885.61553810493
A,9492.629371565272
C,5895.392372926257
A,6349.442237754023
B,7139.189433955119
D,5217.685575465402
C,2064.9797554965044
A,8511.474838456592
D,7287.189620743637
D,5972.045551562975
C,5819.789230141388
B,6944.146966327284
D,9150.907057747778
A,879.3599697254837
D,7704.963867715192
A,2400.0519112067504
D,550.8002943880858
D,3410.616931825372
C,7799.2150632754365
B,9469.079926863984
B,9427.287523231049
D,1486.5994790263019
A,5882.690045815515
C,7474.176059390099
D,3328.2073694750516
A,7444.287049225594
A,6624.603582871129
C,2365.7790755612946
C,4108.354028852728
A,3783.8295690054506
C,8707.584448571295
C,1403.8521726682272
D,9481.649085049703
A,621.7553748309904
B,8585.008004652535
A,4978.064134350335
D,8823.155800579138
D,9645.104187258456
D,8594.7624010574
A,9719.091038478675
D,4226.969679765794
C,3059.890165141058
D,1938.5252033281151
A,3285.268843918828
A,2973.2936020285865
B,8386.441838687066
B,3513.5116948731084
D,7903.190983332248
A,5962.05379295919
C,7498.141926473867
D,8028.725631525824
B,1070.3110625163165
D,3164.0118306105737
D,1644.929828295584
C,1357.2672306207453
D,5120.11037099279
B,997.57756650002
C,8265.643529940337
D,6486.688176132571
A,6205.130194828967
B,4890.276843853385
D,9361.707428084339
C,859.6275762705345
B,3431.3863827086284
C,9569.580390603885
D,2162.327047082798
D,7105.858250629453
D,3018.6105883637792
D,1518.0575705034223
B,7271.058494269312
A,3127.0386345962
B,5338.179276896744
B,7999.353023510162
B,1562.5302619277343
C,9051.401641486213
A,8877.456698126338
D,1607.2878802197945
D,7835.681833405708
B,417.10888643566307
D,6238.854634674895
D,360.7557443462561
A,3046.297901746036
A,263.72674224463225
D,9662.083630491064
A,2558.2098865124412
B,4894.896052241262
B,614.4974944511566
A,1913.673252984732
C,1730.6213805825935
D,2864.525222246166
A,3670.6978167230263
B,2123.7600585041982
C,1001.8495702968937
A,6108.547911601861
B,2607.29389283158
C,8078.102622534322
C,8914.926640420661
B,8977.639310187686
D,7343.164218090457
C,4679.5316544651205
A,6442.52234903403
B,215.65822011451877
B,2250.901623806192
C,5181.404942588318
D,7537.326095869237
C,656.4358723820307
A,7775.667086548889
C,392.1862558245505
A,617.2585087740284
B,5198.4686010554
C,7743.15565377679
B,4507.795282705861
C,1784.2496697733511
D,4747.550325227248
D,2075.5585451932175
C,1977.30069541475
D,1882.8884772168672
C,2877.840277368877
A,7454.111122913041
C,1001.4348424683209
D,1837.5108533152516
B,2378.0996246820264
A,8809.760365028953
A,8882.489708606403
C,7449.397169853496
B,694.1318782564102
C,157.47506291842328
A,4908.638998332723
C,3970.0518641726676
C,1576.4081900981353
C,4652.550348733077
B,265.853721447631
C,2032.7598777513335
A,4667.374041735011
B,2835.422128419739
