Категория,Значение
D,9003.419920722692
C,1050.0243514499243
C,4119.7846227899545
C,7251.915842639045
B,5604.94603979795
C,5004.161313244776
A,2935.0139302784573
B,6337.058299640942
D,904.845068259588
B,166.38982254148382
A,9186.366466528158
B,4301.11737893291
C,2203.494134803824
A,9012.54562870171
B,4478.223738620808
B,9967.053875152775
B,1117.7555646133756
B,2075.2449531400634
A,2398.2315423650416
B,7296.579992471316
D,9229.649342063694
D,7026.778703302792
A,9102.86224843621
D,452.88353060109444
B,1514.4794413610975
B,5300.789973808338
A,9529.886381255634
B,7240.833213461445
D,4172.064387975922
A,3913.843029209758
A,1455.7482773283075
B,8159.268568588408
B,6222.432141119083
B,4512.997749764083
D,7545.24499974992
A,2071.1403875253645
D,3777.9228363510224
B,4848.104193136801
B,3424.81597964821
A,5115.0982720371885
D,6654.618951621863
B,2508.8880721538376
D,4372.471239416477
C,351.8535503029755
A,7315.275634143305
B,3977.9447921131596
B,2165.4249539474195
A,1634.3787094039462
A,464.73341561703563
A,243.80131714222338
D,1408.5520579472088
D,9251.95397899389
D,5572.983194081534
C,446.4784664886913
D,7026.25411078992
C,5634.798727045724
D,171.31449326593184
A,5617.887971535929
A,5240.191623086707
C,3712.721259881246
A,8687.429796254051
B,5192.19177273771
D,1980.823340216911
D,5932.256342358972
A,829.6648614601827
A,5122.451167564801
D,8798.24592463707
C,4993.729637206445
C,295.70547507143675
A,933.6770606962363
A,7030.703817083474
A,9054.338769918282
A,4020.3661062004494
C,3475.7311966961292
B,1578.6903345931794
A,7748.973927836503
B,2371.8522079461095
C,792.0233005367755
A,9767.53324580469
C,972.0966478881811
C,4049.4283836771406
C,3101.0643743021287
C,6244.297502556139
C,5441.347881585225
D,5396.531114140296
B,6421.677964222551
A,1530.8911384428488
A,9202.817313718142
A,6340.43413650474
A,809.6127861707778
A,6344.8609812184895
B,6705.158511762683
D,7947.241762792632
B,5803.138255512619
A,7237.1721991802015
C,464.25482684143225
C,6011.932275048408
B,6288.5169970066045
