Название,IMO,MMSI,Тип,Ссылка,Ошибка
,,,,https://www.vesselfinder.com/ru/vessels?name=1 WOOYANGHO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=101 SU SUNG HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=109 CHUNG RYONG,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=11 DAE YOUNG HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=15 YOUNG SIN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=205HYUNDAE,суда не найдены
,,,,https://www.vesselfinder.com/ru/vessels?name=20CHEONG U,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=3 DONG MYUNGHO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=384 BI RYONG HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=5 HAN YU HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=7 WOO RI HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=77 CHUNG HAE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=7BOKWANG,"не все данные найдены: name='7BOKWANG', imo='', mmsi='', type='Tanker'"
,,,,https://www.vesselfinder.com/ru/vessels?name=7SE YUN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=A,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=A HOUOU,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=A ONE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=A WISDOM,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AC SESODA,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AC SHANGHAI,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ACACIA VIRGO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ACRUX AMELIA,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ADAMAS I,статус код: 400
ADEL.S,9155937,677047600,Cargo ship,https://www.vesselfinder.com/ru/vessels?name=ADEL.S,
ADIMI,8818764,671196100,Cargo ship,https://www.vesselfinder.com/ru/vessels?name=ADIMI,
,,,,https://www.vesselfinder.com/ru/vessels?name=AEOLIAN VICTORY,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AFRA ROSSI,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AFRICA,"не все данные найдены: name='AFRICA', imo='', mmsi='', type='Unknown'"
,,,,https://www.vesselfinder.com/ru/vessels?name=AFRICA STAR,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AFRICAN BARI BIRD,статус код: 400
AGAT,8805949,261001250,Unknown,https://www.vesselfinder.com/ru/vessels?name=AGAT,
,,,,https://www.vesselfinder.com/ru/vessels?name=AH PENG,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AHOY PORTUNUS,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AKADEMIK FERSMAN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AKMAL,"не все данные найдены: name='AKMAL', imo='', mmsi='', type=''"
,,,,https://www.vesselfinder.com/ru/vessels?name=AKTEON,"не все данные найдены: name='AKTEON', imo='', mmsi='', type=''"
,,,,https://www.vesselfinder.com/ru/vessels?name=AL RAAD AL SAUDI,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ALAMEDA,"не все данные найдены: name='ALAMEDA', imo='', mmsi='', type='Sailing vessel'"
ALASKA,9302607,538008784,Tanker,https://www.vesselfinder.com/ru/vessels?name=ALASKA,
,,,,https://www.vesselfinder.com/ru/vessels?name=ALCOR,"не все данные найдены: name='ALCOR', imo='', mmsi='', type=''"
ALEKS.SOLZHENITSYN,9761140,273381830,Tug,https://www.vesselfinder.com/ru/vessels?name=ALEKS.SOLZHENITSYN,
,,,,https://www.vesselfinder.com/ru/vessels?name=ALEKSANDR GLUKHOV,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ALEKSANDR KOZITSYN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ALEKSANDR SHALIN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ALESSANDRA M,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ALIOT,"не все данные найдены: name='ALIOT', imo='', mmsi='', type=''"
,,,,https://www.vesselfinder.com/ru/vessels?name=ALK,"не все данные найдены: name='ALK', imo='', mmsi='', type='Pleasure craft'"
,,,,https://www.vesselfinder.com/ru/vessels?name=ALNIC MC,статус код: 400
ALPS,9286451,314001010,Tanker,https://www.vesselfinder.com/ru/vessels?name=ALPS,
ALQADISIA,9343352,538011949,Tanker,https://www.vesselfinder.com/ru/vessels?name=ALQADISIA,
,,,,https://www.vesselfinder.com/ru/vessels?name=ALTYN,"не все данные найдены: name='ALTYN', imo='', mmsi='', type=''"
,,,,https://www.vesselfinder.com/ru/vessels?name=AMANDUS,"не все данные найдены: name='AMANDUS', imo='', mmsi='', type='Fishing vessel'"
AMBELOS,9801524,311000695,Tanker,https://www.vesselfinder.com/ru/vessels?name=AMBELOS,
,,,,https://www.vesselfinder.com/ru/vessels?name=AMBER BALTIC,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AMBON 1,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AMBON 2,статус код: 400
AMETIST,9076210,273550500,Fishing vessel,https://www.vesselfinder.com/ru/vessels?name=AMETIST,
,,,,https://www.vesselfinder.com/ru/vessels?name=AMNSI STALLION,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AMOY PROGRESS,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AMPHITRITE,"не все данные найдены: name='AMPHITRITE', imo='', mmsi='', type='Sailing vessel'"
,,,,https://www.vesselfinder.com/ru/vessels?name=AN CHANG,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AN QIANG 66,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=AN XING HAI,статус код: 400
ANARITA,9636008,636015345,Cargo ship,https://www.vesselfinder.com/ru/vessels?name=ANARITA,
,,,,https://www.vesselfinder.com/ru/vessels?name=ANATOLIY KLIMOV,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ANATOLIY SUKHOV,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ANATOLY IVANOV,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ANATOLY KOLODKIN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ANCE,"не все данные найдены: name='ANCELIA', imo='', mmsi='', type='Sailing vessel'"
ANELLY,9547221,477995338,Tanker,https://www.vesselfinder.com/ru/vessels?name=ANELLY,
,,,,https://www.vesselfinder.com/ru/vessels?name=ANFAT,суда не найдены
,,,,https://www.vesselfinder.com/ru/vessels?name=ANGARA,"не все данные найдены: name='ANGARA', imo='', mmsi='', type=''"
,,,,https://www.vesselfinder.com/ru/vessels?name=ANGGERIK,"не все данные найдены: name='INAI ANGGERIK', imo='', mmsi='', type=''"
ANIK,8714528,273291570,Fishing vessel,https://www.vesselfinder.com/ru/vessels?name=ANIK,
,,,,https://www.vesselfinder.com/ru/vessels?name=ANNA BARBARA,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ANNA META,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ANTIO,"не все данные найдены: name='ANTIO', imo='', mmsi='', type='Cargo ship'"
